Season,TeamID,ConfAbbrev
2010,1102,mwc
2010,1103,mac
2010,1104,sec
2010,1105,swac
2010,1106,swac
2010,1107,aec
2010,1108,swac
2010,1110,patriot
2010,1111,southern
2010,1112,pac_ten
2010,1113,pac_ten
2010,1114,sun_belt
2010,1115,swac
2010,1116,sec
2010,1117,sun_belt
2010,1119,patriot
2010,1120,sec
2010,1122,ovc
2010,1123,mac
2010,1124,big_twelve
2010,1125,a_sun
2010,1126,meac
2010,1127,aec
2010,1129,wac
2010,1130,acc
2010,1131,aec
2010,1132,mac
2010,1133,mvc
2010,1135,ivy
2010,1136,nec
2010,1137,patriot
2010,1138,mac
2010,1139,horizon
2010,1140,mwc
2010,1141,mac
2010,1142,big_west
2010,1143,pac_ten
2010,1144,a_sun
2010,1145,maac
2010,1146,southland
2010,1147,summit
2010,1148,nec
2010,1149,big_south
2010,1150,a_ten
2010,1151,southern
2010,1152,gwc
2010,1153,big_east
2010,1154,southern
2010,1155,acc
2010,1156,horizon
2010,1157,big_south
2010,1158,southern
2010,1159,patriot
2010,1160,big_twelve
2010,1161,mwc
2010,1162,ivy
2010,1163,big_east
2010,1164,meac
2010,1165,ivy
2010,1166,mvc
2010,1167,ind
2010,1168,big_west
2010,1169,big_west
2010,1170,big_sky
2010,1171,ivy
2010,1172,southern
2010,1173,a_ten
2010,1174,caa
2010,1175,meac
2010,1176,sun_belt
2010,1177,big_east
2010,1178,horizon
2010,1179,mvc
2010,1180,caa
2010,1181,acc
2010,1182,a_ten
2010,1183,ovc
2010,1184,ovc
2010,1185,mac
2010,1186,big_sky
2010,1187,cusa
2010,1188,ind
2010,1189,southern
2010,1190,a_sun
2010,1191,mvc
2010,1192,nec
2010,1193,maac
2010,1194,sun_belt
2010,1195,a_sun
2010,1196,sec
2010,1197,meac
2010,1198,sun_belt
2010,1199,acc
2010,1200,a_ten
2010,1201,wac
2010,1202,southern
2010,1203,a_ten
2010,1204,southern
2010,1205,big_south
2010,1206,caa
2010,1207,big_east
2010,1208,sec
2010,1209,caa
2010,1210,acc
2010,1211,wcc
2010,1212,swac
2010,1214,meac
2010,1216,aec
2010,1217,ivy
