Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,WTeam_MOR,WTeam_KPOM,LTeam_MOR,LTeam_KPOM,WPoss,LPoss,WeFG%,LeFG%,WORB%,LORB%,WDRB%,LDRB%,WFTR,LFTR,WFT%,LFT%,WTO%,LTO%
2010,134,1115,61,1457,44,N,0,17,44,6,16,21,28,10,29,12,10,3,7,16,16,55,2,21,10,18,14,20,5,7,3,5,22,269.0,238.0,199.0,212.0,57.0,56.0,0.45454545454545453,0.3090909090909091,0.3333333333333333,0.32558139534883723,0.6744186046511628,0.6666666666666666,0.6363636363636364,0.32727272727272727,0.75,0.5555555555555556,0.17543859649122806,0.125
2010,136,1124,68,1358,59,N,0,26,59,5,20,11,17,8,39,18,14,8,2,18,23,68,6,31,7,13,8,29,20,11,7,1,20,11.0,12.0,112.0,102.0,73.0,77.0,0.4830508474576271,0.38235294117647056,0.21621621621621623,0.1702127659574468,0.8297872340425532,0.7837837837837838,0.288135593220339,0.19117647058823528,0.6470588235294118,0.5384615384615384,0.1917808219178082,0.14285714285714285
2010,136,1139,77,1431,59,N,0,23,50,13,31,18,28,8,24,14,10,6,1,13,24,57,4,18,7,9,6,24,15,14,8,1,24,24.0,26.0,38.0,34.0,65.0,68.0,0.59,0.45614035087719296,0.25,0.2,0.8,0.75,0.56,0.15789473684210525,0.6428571428571429,0.7777777777777778,0.15384615384615385,0.20588235294117646
2010,136,1140,99,1196,92,N,2,32,65,10,23,25,32,10,23,11,12,12,2,17,34,78,10,32,14,19,20,25,15,21,7,4,24,14.0,7.0,40.0,49.0,81.0,85.0,0.5692307692307692,0.5,0.2857142857142857,0.46511627906976744,0.5348837209302325,0.7142857142857143,0.49230769230769234,0.24358974358974358,0.78125,0.7368421052631579,0.14814814814814814,0.24705882352941178
2010,136,1242,90,1250,74,N,0,38,69,9,21,5,10,14,27,17,14,10,11,18,25,62,7,19,17,21,13,20,11,13,6,4,16,1.0,2.0,149.0,180.0,74.0,71.0,0.6159420289855072,0.4596774193548387,0.4117647058823529,0.325,0.675,0.5882352941176471,0.14492753623188406,0.3387096774193548,0.5,0.8095238095238095,0.1891891891891892,0.18309859154929578
2010,136,1243,82,1317,62,N,0,31,61,7,18,13,20,17,23,12,11,9,10,25,17,55,5,19,23,31,19,17,8,16,2,0,17,8.0,9.0,157.0,169.0,65.0,66.0,0.5655737704918032,0.35454545454545455,0.5,0.4523809523809524,0.5476190476190477,0.5,0.32786885245901637,0.5636363636363636,0.65,0.7419354838709677,0.16923076923076924,0.24242424242424243
2010,136,1246,100,1190,71,N,0,31,60,15,33,23,34,11,33,27,14,8,11,24,23,64,4,17,21,37,15,25,11,14,11,1,23,4.0,6.0,184.0,142.0,79.0,81.0,0.6416666666666667,0.390625,0.3055555555555556,0.3125,0.6875,0.6944444444444444,0.5666666666666667,0.578125,0.6764705882352942,0.5675675675675675,0.17721518987341772,0.1728395061728395
2010,136,1293,66,1435,65,N,0,25,60,7,15,9,17,15,24,13,11,4,4,21,22,50,4,12,17,29,10,23,15,10,4,4,17,75.0,57.0,29.0,36.0,64.0,64.0,0.475,0.48,0.39473684210526316,0.29411764705882354,0.7058823529411765,0.6052631578947368,0.2833333333333333,0.58,0.5294117647058824,0.5862068965517241,0.171875,0.15625
2010,136,1307,62,1285,57,N,0,22,53,5,20,13,23,10,21,14,6,8,3,14,22,54,6,21,7,12,11,26,17,12,5,2,21,59.0,47.0,135.0,105.0,60.0,60.0,0.46226415094339623,0.46296296296296297,0.2777777777777778,0.34375,0.65625,0.7222222222222222,0.4339622641509434,0.2222222222222222,0.5652173913043478,0.5833333333333334,0.1,0.2
2010,136,1320,69,1424,66,N,0,20,45,9,19,20,23,13,22,11,16,7,2,16,25,58,9,22,7,12,15,13,12,8,9,2,20,41.0,32.0,43.0,37.0,58.0,57.0,0.5444444444444444,0.5086206896551724,0.5,0.40540540540540543,0.5945945945945946,0.5,0.5111111111111111,0.20689655172413793,0.8695652173913043,0.5833333333333334,0.27586206896551724,0.14035087719298245
